age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,176,9.3,11.359392,5.008608,1
27,1,10,6,31,17.3,1.362202,4.000798,0
40,1,15,14,55,5.5,.856075,2.168925,0
41,1,15,14,120,2.9,2.65872,.82128,0
24,2,2,0,28,17.3,1.787436,3.056564,1
41,2,5,5,25,10.2,.3927,2.1573,0
39,1,20,9,67,30.6,3.833874,16.668126,0
43,1,12,11,38,3.6,.128592,1.239408,0
24,1,3,4,19,24.4,1.358348,3.277652,1
36,1,0,13,25,19.7,2.7777,2.1473,0
27,1,0,1,16,1.7,.182512,.089488,0
25,1,4,0,23,5.2,.252356,.943644,0
52,1,24,14,64,10,3.9296,2.4704,0
37,1,6,9,29,16.3,1.715901,3.011099,0
48,1,22,15,100,9.1,3.7037,5.3963,0
36,2,9,6,49,8.6,.817516,3.396484,1
36,2,13,6,41,16.4,2.918216,3.805784,1
43,1,23,19,72,7.6,1.181952,4.290048,0
39,1,6,9,61,5.7,.563274,2.913726,0
41,3,0,21,26,1.7,.099008,.342992,0
39,1,22,3,52,3.2,1.154816,.509184,0
47,1,17,21,43,5.6,.587552,1.820448,0
28,1,3,6,26,10,.4316,2.1684,0
29,1,8,6,27,9.8,.402192,2.243808,0
21,2,1,2,16,18,.24192,2.63808,1
25,4,0,2,32,17.6,2.14016,3.49184,0
45,2,9,26,69,6.7,.707319,3.915681,0
43,1,25,21,64,16.7,.951232,9.736768,0
33,2,12,8,58,18.4,3.084208,7.587792,0
26,3,2,1,37,14.2,.204906,5.049094,0
45,1,3,15,20,2.1,.105,.315,0
30,1,1,10,22,10.5,1.13883,1.17117,0
27,3,2,7,26,6,.72228,.83772,0
25,1,8,4,27,14.4,1.018656,2.869344,0
25,1,8,1,35,2.9,.07714,.93786,0
26,2,6,7,45,26,6.0489,5.6511,0
30,2,10,4,22,16.1,1.409716,2.132284,0
32,2,12,1,54,14.4,3.195936,4.580064,0
28,2,1,8,24,17.1,1.337904,2.766096,1
45,1,23,5,50,4.2,.5586,1.5414,0
23,1,7,2,31,6.6,.33759,1.70841,0
34,1,17,3,59,8,1.80776,2.91224,0
42,2,7,23,41,4.6,.941114,.944886,0
39,1,19,5,48,13.1,1.930416,4.357584,0
26,1,0,0,14,7.5,.3024,.7476,1
21,2,0,1,16,6.8,.150144,.937856,0
35,1,13,15,35,4.5,.43155,1.14345,0
47,1,4,2,26,10.4,.12168,2.58232,0
23,2,0,2,21,11.4,.775656,1.618344,1
26,1,0,0,14,7.5,.3024,.7476,1
21,2,0,1,16,6.8,.150144,.937856,0
35,1,13,15,35,4.5,.43155,1.14345,0
47,1,4,2,26,10.4,.12168,2.58232,0
23,2,0,2,21,11.4,.775656,1.618344,1
35,1,18,2,42,7.4,.205128,2.902872,0
34,1,2,11,25,12.6,.5733,2.5767,1
46,1,1,12,20,14,.8092,1.9908,0
46,1,16,18,52,12.9,3.032016,3.675984,1
38,3,3,18,25,3.7,.311725,.613275,0
40,2,3,2,28,9.5,.55328,2.10672,0
37,1,1,3,24,15.1,1.801128,1.822872,1
35,1,9,1,34,5,.3978,1.3022,0
39,2,16,13,69,2.4,1.061496,.594504,0
40,3,18,6,100,2.5,1.485,1.015,0
50,3,10,20,80,12.2,2.47904,7.28096,0
31,1,9,10,28,2.4,.047712,.624288,0
29,1,13,1,42,7.4,1.457652,1.650348,1
37,1,4,0,23,12.4,.86986,1.98214,0
33,2,4,9,55,7,2.15985,1.69015,0
26,2,5,7,28,7.8,1.024296,1.159704,0
